Harm. #	Coeff. a	Coeff. b	Amplitude	Phase
168	-0.00290084	-0.01236162	0.01269742	1.34030193
169	-0.00775351	-0.01159988	0.01395256	0.98158580
170	-0.00627168	-0.01023918	0.01200728	1.02122365
171	-0.00648573	-0.00802217	0.01031600	0.89090793
172	-0.00248687	-0.00105906	0.00270298	0.40259829
173	0.00646144	-0.00042834	0.00647563	-0.06619468
174	0.00084422	-0.00630324	0.00635953	-1.43765439
175	-0.00933780	0.00342528	0.00994621	-0.35157911
176	-0.00106866	0.01858587	0.01861657	-1.51336084
177	0.01247817	0.01410282	0.01883067	0.84644300
178	0.00079763	0.00288009	0.00298850	1.30062202
179	-0.01103123	0.00814409	0.01371183	-0.63595557
180	-0.00540337	0.01813264	0.01892060	-1.28118352
181	-0.00121161	0.00868606	0.00877016	-1.43220177
182	-0.00295728	-0.00258159	0.00392557	0.71767382
183	0.00214204	-0.00038930	0.00217713	-0.17978203
184	0.00551792	-0.00076059	0.00557009	-0.13697707
185	0.00307739	-0.00438734	0.00535902	-0.95911473
186	0.00453829	-0.00522170	0.00691826	-0.85530543
187	0.00737370	-0.00865210	0.01136795	-0.86500120
188	-0.00059506	-0.01447709	0.01448931	1.52971602
189	-0.00367469	-0.00085459	0.00377276	0.22850030
190	0.00351907	0.00764331	0.00841452	1.13931806
191	0.00873243	-0.00576734	0.01046507	-0.58368710
192	-0.00308157	-0.00977901	0.01025305	1.26552554
193	-0.01286634	0.00636288	0.01435371	-0.45926750
194	-0.00365006	0.01098582	0.01157632	-1.25001966
195	0.00141530	0.00315144	0.00345466	1.14869379
196	-0.00403893	-0.00020075	0.00404392	0.04966305
197	-0.00569176	0.00455339	0.00728899	-0.67473909
198	-0.00156442	0.00425080	0.00452954	-1.21815081
199	-0.00115677	0.00674613	0.00684459	-1.40097619
200	0.00084379	0.00439073	0.00447107	1.38093535
201	0.00352651	-0.00180794	0.00396295	-0.47373173
202	-0.00323723	-0.00281220	0.00428814	0.71525347
203	-0.00309463	0.00347589	0.00465387	-0.84335906
204	0.00713072	0.00049235	0.00714769	0.06893743
205	0.00314495	-0.00959926	0.01010131	-1.25419225
